,Ссылка,Подразделение,РИНЦ Author ID,SPIN,Scopus Author ID,Researher ID,ORCID ID,Профиль автора в РИНЦ,Профиль автора в Scopus,Профиль автора в Publons,Профиль автора в ORCID,Профиль автора в ResearchGate,Профиль автора в Google Scholar
161,/ru/glossary/e/egorova_alyona_yurevna,каф общей и технической физики,625713,Empty,57193322119,Y-6027-2018,0000-0002-8635-826,http://elibrary.ru/author_items.asp?authorid=625713,https://www.scopus.com/authid/detail.uri?authorId=57193322119,http://www.researcherid.com/rid/Y-6027-2018,https://orcid.org/0000-0002-8635-826X,https://www.researchgate.net/profile/A_Egorova,https://scholar.google.com/citations?view_op=list_works&hl=ru&user=vqovg-MAAAAJ
162,/ru/glossary/e/epifancev_kirill_valerevich,каф метрологии и управления качеством,610118,Empty,56149025900,Empty,Empty,http://elibrary.ru/author_profile.asp?id=610118,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=56149025900,Empty,Empty,Empty,Empty
163,/ru/glossary/e/erunova_irina_borisovna,каф высшей математики,986868,9516-8092,Empty,Empty,Empty,https://elibrary.ru/itembox_items.asp?id=986868,Empty,Empty,Empty,Empty,Empty
164,/ru/glossary/e/ershov_dmitriy_yurevich,каф машиностроения,698408,4011-1234,57196260367,3190400,0000-0001-9384-7590,https://elibrary.ru/author_items.asp?authorid=698408,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57196260367&zone=,https://publons.com/researcher/3190400/dmitriy-ershov/,https://orcid.org/0000-0001-9384-7590,https://www.researchgate.net/profile/Dmitry_Ershov,https://scholar.google.com/citations?view_op=list_works&hl=ru&user=UG92j_oAAAAJ&gmla=AJsN-F62_TkNrB1r7jQvm89tcubi2ZckBVwSyjDdpfahEFnSb9Qf6slOUL0tciCbOmrXlNGy6NT3Il_LFINaM2vy-ao4QezuyHg5vUDu1d7Ja9qWrHG-KPqpmFN3Ah4TtnnBpX0Ms7_wBFTB-7E-izbEdXZc18tksg
165,/ru/glossary/e/efimov_aleksandr_evgenevich,каф машиностроения,956168,5687-1126,57201780004,1674873,0000-0002-9270-881,https://elibrary.ru/author_items.asp?authorid=956168,https://www2.scopus.com/authid/detail.uri?origin=resultslist&authorId=57201780004&zone=,https://publons.com/researcher/1674873/efimov-aleksander/,https://orcid.org/0000-0002-9270-881X,https://www.researchgate.net/profile/Alexander_Efimov8,https://scholar.google.ru/citations?hl=ru&user=ram5JDYAAAAJ&view_op=list_works&gmla=AJsN-F4z8BzqMywP8WjeDqIg46n4vkS9W25YTCnm8f-Spo4NWmgI8k7DRFwjF6sWu7l0Jq3dK4_y4TUjY6B_rJL6PKtuQ42FrmLaEkmBQ_aUtnBjU3uLdEeAURivdOTSXVFrsuhaogHM
166,/ru/glossary/e/efremova_olga_vladimirovna,каф иностранных языков,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
167,/ru/glossary/j/zhadovskiy_ivan_tarasovich,каф физической химии,597271,Empty,57188559302,Empty,0000-0003-3076-9948,http://elibrary.ru/author_items.asp?authorid=597271,https://www.scopus.com/authid/detail.uri?authorId=57188559302,https://publons.com/dashboard/records/publication/import/,https://orcid.org/0000-0003-3076-9948,https://www.researchgate.net/profile/Ivan_Zhadovskiy/info,https://scholar.google.com/citations?view_op=list_works&hl=ru&user=5RczqoMAAAAJ&gmla=AJsN-F6aZxZGjrLo7TB3BWHwM1_zvbnYDIASU3ori6gz0fnKWw3wyUBZONQRVZgtU8GrJuibP-pGJlMFXRhN6DBf1XyBC7dcwQXUx_FvlZ5zKuhM9AyBrYOE9Jn2YMM5YWNHPAv4stFOQiPA7Ce7enp8rrMIGeUvkw
168,/ru/glossary/j/zhambalova_saryuna_cyrenzhapovna,каф электронных систем,945936,Empty,Empty,Empty,Empty,https://elibrary.ru/author_profile.asp?id=945936,Empty,Empty,Empty,Empty,Empty
169,/ru/glossary/j/zhukovskiy_yuriy_leonidovich,,641393,3307-6459,57189886188,AAG-4145-2019,0000-0003-0312-0019,http://elibrary.ru/author_items.asp?authorid=641393&pubrole=100&show_refs=1,https://www.scopus.com/authid/detail.uri?authorId=57189886188,https://publons.com/researcher/AAG-4145-2019/,https://orcid.org/0000-0003-0312-0019,https://www.researchgate.net/profile/Yl_Zhukovskiy,https://scholar.google.ru/citations?hl=en&view_op=list_works&gmla=AJsN-F4jybU-Qb3Us43ymA8ItvYR29Pq0tmI_usepbZjMZaVKMToERpa1z2HkRrq10rUx_TNd2mpc0mvgAtwzRbH2Jmrj_Gnzq8y7PNcPhinXSHdMzxd234voTzY8Y8JDi0WmHHy8KFk&user=SabSPDoAAAAJ
170,/ru/glossary/j/zhukovskiy_vladimir_evgenevich,каф информационных систем и вычислительной техники,904084,9251-2021,Empty,AAE-2808-2019,0000-0002-2552-6178,http://elibrary.ru/author_items.asp?authorid=904084,https://www.scopus.com/dashboard.uri,https://publons.com/researcher/AAE-2808-2019/,https://orcid.org/0000-0002-2552-6178,https://www.researchgate.net/profile/Vladimir_Zhukovskiy,https://scholar.google.ru/citations?user=UO8zNU0AAAAJ&hl=ru
